text,data,bss,dec,hex,filename
41092,1272,1720,44084,ac34,SX127x_Receive_Blocking
39556,1272,1720,42548,a634,SX127x_Receive_Direct
40516,1304,1728,43548,aa1c,SX127x_Receive_FHSS
41188,1272,1728,44188,ac9c,SX127x_Receive_Interrupt
43412,1272,2096,46780,b6bc,SX127x_Settings
40116,1272,1728,43116,a86c,SX127x_Transmit_Blocking
40948,1304,1752,44004,abe4,SX127x_Transmit_FHSS
40220,1272,1736,43228,a8dc,SX127x_Transmit_Interrupt
35052,1272,1736,38060,94ac,SX128x_BLE_Modem
33844,1272,1736,36852,8ff4,SX128x_Channel_Activity_Detection_Blocking
34012,1272,1744,37028,90a4,SX128x_Channel_Activity_Detection_Interrupt
35060,1272,1736,38068,94b4,SX128x_FLRC_Modem
34884,1272,1736,37892,9404,SX128x_GFSK_Modem
35796,1272,1736,38804,9794,SX128x_Ranging
35748,1272,1736,38756,9764,SX128x_Receive_Blocking
35836,1272,1744,38852,97c4,SX128x_Receive_Interrupt
34756,1272,2128,38156,950c,SX128x_Settings
34532,1272,1744,37548,92ac,SX128x_Transmit_Blocking
34676,1272,1752,37700,9344,SX128x_Transmit_Interrupt
32348,1272,1704,35324,89fc,Si443x_Receive_Blocking
32436,1272,1712,35420,8a5c,Si443x_Receive_Interrupt
32516,1272,2064,35852,8c0c,Si443x_Settings
32484,1272,1712,35468,8a8c,Si443x_Transmit_Blocking
32580,1272,1720,35572,8af4,Si443x_Transmit_Interrupt
39668,1272,2240,43180,a8ac,Stream_Receive
40524,1272,1752,43548,aa1c,Stream_Transmit
26340,1272,1696,29308,727c,nRF24_Receive_Blocking
26428,1272,1696,29396,72d4,nRF24_Receive_Interrupt
26452,1272,1696,29420,72ec,nRF24_Transmit_Blocking
26556,1272,1704,29532,735c,nRF24_Transmit_Interrupt
